Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/15/2026,01/16/2026,COSTCO GAS #0747,Automotive,Sale,-55.2,
01/18/2026,01/19/2026,AMAZON MARKETPLACE NA,Shopping,Sale,-34.99,
01/22/2026,01/23/2026,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-142.5,
01/25/2026,01/26/2026,CHIPOTLE 0469,Food & Drink,Sale,-18.75,
01/28/2026,01/28/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-9.42,
02/03/2026,02/04/2026,WHOLE FOODS MARKET,Grocery,Sale,-67.33,
02/10/2026,02/11/2026,LYFT   *RIDE MON 9AM,Travel,Sale,-38.5,
02/14/2026,02/15/2026,APPLE.COM/BILL,Bills & Utilities,Sale,-9.99,
02/20/2026,02/21/2026,SAFEWAY #1864,Grocery,Sale,-45.12,
02/25/2026,02/25/2026,Payment Thank You - Web,,Payment,1842.3,
03/05/2026,03/06/2026,TESLA SUPERCHARGER US,Automotive,Sale,-12.8,
03/12/2026,03/13/2026,STARBUCKS #09234,Food & Drink,Sale,-7.45,
03/18/2026,03/19/2026,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-118.57,
03/22/2026,03/23/2026,ROSS STORE #462,Shopping,Sale,-28.99,
03/28/2026,03/28/2026,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.0,
04/02/2026,04/03/2026,COSTCO WHSE #0747,Shopping,Sale,-187.43,
04/08/2026,04/09/2026,LYFT   *RIDE WED 8AM,Travel,Sale,-42.1,
04/15/2026,04/16/2026,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-156.2,
04/20/2026,04/21/2026,AMAZON.COM,Shopping,Sale,-52.99,
04/26/2026,04/26/2026,Payment Thank You-Mobile,,Payment,987.54,
