Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,1/5/2026,NORTHWESTERN MU  ISA PYMENT  PPD ID: 9000596067,-236.54,ACH_DEBIT,4820.1,
DEBIT,1/12/2026,AMERICAN EXPRESS ACH PMT  WEB ID: 9493560001,-1842.3,ACH_DEBIT,4583.56,
CREDIT,1/20/2026,Neighbor.com  ST-W7Q3D7D4V3L3 CCD ID: 1800948598,176.33,ACH_CREDIT,6425.86,
DEBIT,2/3/2026,NORTHWESTERN MU  ISA PYMENT  PPD ID: 9000596067,-236.54,ACH_DEBIT,6189.32,
DEBIT,2/9/2026,TESLA MOTORS  TESLA MOTO  WEB ID: 5912197729,-11.04,MISC_DEBIT,5952.78,
DEBIT,2/14/2026,BK OF AMER VISA  ONLINE PMT  WEB ID: 9500000000,-497.14,ACH_DEBIT,5455.64,
CREDIT,2/19/2026,Neighbor.com  ST-O9O7R6X3M9Z4 CCD ID: 1800948598,176.33,ACH_CREDIT,5631.97,
DEBIT,2/25/2026,CAPITAL ONE  MOBILE PMT  WEB ID: 9279744380,-987.54,ACH_DEBIT,4644.43,
DEBIT,3/3/2026,NORTHWESTERN MU  ISA PYMENT  PPD ID: 9000596067,-236.54,ACH_DEBIT,4407.89,
DEBIT,3/20/2026,MONTHLY SERVICE FEE,-15.0,FEE_TRANSACTION,4392.89,
CREDIT,3/19/2026,Neighbor.com  ST-F9L6G8V6X6Q0 CCD ID: 4270465600,176.33,ACH_CREDIT,4569.22,
DEBIT,3/26/2026,TESLA MOTORS  TESLA MOTO  WEB ID: 5912197729,-109.4,MISC_DEBIT,4459.82,
DEBIT,4/3/2026,NORTHWESTERN MU  ISA PYMENT  PPD ID: 9000596067,-236.54,ACH_DEBIT,4223.28,
CREDIT,4/20/2026,Neighbor.com  ST-W9Z0I5F5B8M8 CCD ID: 1800948598,176.33,ACH_CREDIT,4399.61,
DEBIT,4/21/2026,MONTHLY SERVICE FEE,-15.0,FEE_TRANSACTION,4384.61,
DEBIT,4/13/2026,AMERICAN EXPRESS ACH PMT  WEB ID: 9493560001,-658.4,ACH_DEBIT,3726.21,
