Date,Transaction,Name,Memo,Amount
1/7/2026,CREDIT,INTEREST PAID THIS PERIOD,Download from usbank.com.,0.18
1/7/2026,DEBIT,MONTHLY MAINTENANCE FEE,Download from usbank.com.,-12.0
1/7/2026,CREDIT,MONTHLY MAINTENANCE FEE WAIVED,Download from usbank.com.,12.0
1/30/2026,CREDIT,ELECTRONIC DEPOSIT AMAZON WEB SERVI,Download from usbank.com.,3996.76
2/5/2026,DEBIT,MONTHLY MAINTENANCE FEE,Download from usbank.com.,-12.0
2/5/2026,CREDIT,MONTHLY MAINTENANCE FEE WAIVED,Download from usbank.com.,12.0
2/27/2026,CREDIT,ELECTRONIC DEPOSIT AMAZON WEB SERVI,Download from usbank.com.,3996.76
3/5/2026,DEBIT,MONTHLY MAINTENANCE FEE,Download from usbank.com.,-12.0
3/5/2026,CREDIT,MONTHLY MAINTENANCE FEE WAIVED,Download from usbank.com.,12.0
3/31/2026,CREDIT,ELECTRONIC DEPOSIT AMAZON WEB SERVI,Download from usbank.com.,3996.77
4/6/2026,DEBIT,MONTHLY MAINTENANCE FEE,Download from usbank.com.,-12.0
4/6/2026,CREDIT,MONTHLY MAINTENANCE FEE WAIVED,Download from usbank.com.,12.0
4/30/2026,CREDIT,ELECTRONIC DEPOSIT AMAZON WEB SERVI,Download from usbank.com.,4836.92
